Data Source,Platform/Station,Lat,Lon,Observation(s)
"National Ocean Service,  NOAA","8771450: Galveston Pier 21, TX",29.31,-94.7933,"airPressure, airTemperature, waterLevel"
"National Ocean Service,  NOAA","8774513: Copano Bay, TX",28.1183,-97.0217,"airPressure, airTemperature, waterLevel"
"National Ocean Service,  NOAA","8767816: Lake Charles, LA",30.2236,-93.2217,"airPressure, airTemperature, waterLevel, waterLevel"
"National Ocean Service,  NOAA","8724580: Key West, FL",24.5557,-81.8079,"airPressure, airTemperature, waterLevel, waterTemperature"
"National Ocean Service,  NOAA","8726384: Port Manatee, FL",27.6387,-82.5621,"airPressure, airTemperature, waterLevel, waterTemperature"
"National Ocean Service,  NOAA","8723970: Vaca Key, FL",24.7117,-81.105,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8725110: Naples, FL",26.1317,-81.8075,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8725520: Fort Myers, FL",26.6477,-81.8712,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8726520: St. Petersburg, FL",27.7606,-82.6269,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8726724: Clearwater Beach, FL",27.9783,-82.8317,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8728690: Apalachicola, FL",29.7267,-84.9817,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8729108: Panama City, FL",30.1523,-85.6669,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8729840: Pensacola, FL",30.4044,-87.2112,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8736897: Coast Guard Sector Mobile, AL",30.6483,-88.0583,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8747437: Bay Waveland Yacht Club, MS",30.3264,-89.3258,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8761305: Shell Beach, LA",29.8681,-89.6732,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8761927: New Canal, LA",30.0272,-90.1134,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8762482: Bayou Gauche, LA",29.7886,-90.4202,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8764227: Amerada Pass, LA",29.4496,-91.3381,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8768094: Calcasieu Pass, LA",29.7682,-93.3429,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8770570: Sabine Pass North, TX",29.7284,-93.8701,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8771013: Eagle Point, TX",29.48,-94.9183,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8772447: USCG Freeport, TX",28.9433,-95.3025,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8774770: Rockport, TX",28.0217,-97.0467,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8775870: Malaquite Beach  (Corpus Christi), TX",27.58,-97.2167,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8779770: Port Isabel, TX",26.06,-97.215,"airPressure, airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA","8720030: Fernandina Beach, FL",30.6717,-81.465,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8720218: Mayport (Bar Pilots Dock), FL",30.3967,-81.43,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8721604: Trident Pier, FL",28.4158,-80.5931,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8722670: Lake Worth Pier, FL",26.6117,-80.0333,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8723214: Virginia Key, FL",25.7314,-80.1618,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8726607: Old Port Tampa, FL",27.8578,-82.5527,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8727520: Cedar Key, FL",29.135,-83.0317,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8729210: Panama City Beach, FL",30.2133,-85.8783,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8735180: Dauphin Island, AL",30.25,-88.075,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8760721: Pilottown, LA",29.1783,-89.2583,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8760922: Pilots Station East, SW Pass, LA",28.9322,-89.4075,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8761724: Grand Isle, LA",29.2633,-89.9567,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8764044: Berwick, LA",29.6675,-91.2376,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8766072: Freshwater Canal Locks, LA",29.555,-92.305,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8770733: Lynchburg Landing, TX",29.765,-95.078,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8770808: High Island, TX",29.593,-94.39,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8770822: Texas Point, Sabine Pass, TX",29.6893,-93.8418,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8770971: Rollover Pass, TX",29.515,-94.513,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8771341: Galveston Bay Entrance, North Jetty, TX",29.3573,-94.7248,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8771486: Galveston Railroad Bridge, TX",29.302,-94.897,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8771972: San Luis Pass, TX",29.095,-95.1133,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8772985: Sargent, TX",28.772,-95.617,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8773037: Seadrift, TX",28.408,-96.712,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8773146: East Matagorda, TX",28.71,-95.913,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8773259: Port Lavaca, TX",28.64,-96.595,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8774230: Aransas Wildlife Refuge, TX",28.228,-96.795,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8775237: Port Aransas, TX",27.8383,-97.0733,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8775283: Port Ingleside, Corpus Christi Bay, TX",27.822,-97.203,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8775792: Packery Channel, TX",27.6333,-97.2367,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8776604: Baffin Bay, TX",27.295,-97.405,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8779280: Realitos Peninsula, TX",26.2622,-97.2854,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8779748: South Padre Island Coast Guard Station, TX",26.077,-97.177,"airPressure, airTemperature, waterLevel, winds"
"National Ocean Service,  NOAA","8720357: I-295 Bridge, St Johns River, FL",30.1917,-81.6917,"airPressure, airTemperature, waterLevel, winds, waterLevel"
"National Ocean Service,  NOAA","8734673: Fort Morgan, AL",30.2283,-88.025,"airPressure, airTemperature, winds"
"National Ocean Service,  NOAA","8741003: Petit Bois Island, MS",30.2133,-88.5,"airPressure, airTemperature, winds"
"National Ocean Service,  NOAA","8741094: Range A rear,  Pascagoula, MS",30.3433,-88.5117,"airPressure, airTemperature, winds"
"National Ocean Service,  NOAA","8741501: Dock C, Pascagoula, MS",30.355,-88.5667,"airPressure, airTemperature, winds"
"National Ocean Service,  NOAA","8776139: S. Bird Island, TX",27.48,-97.322,"airPressure, airTemperature, winds"
"National Ocean Service,  NOAA","8770475: Port Arthur, TX",29.8667,-93.93,"airPressure, waterLevel, winds"
"National Ocean Service,  NOAA","8775244: Nueces Bay, TX",27.8328,-97.4859,"airPressure, waterLevel, winds"
"National Ocean Service,  NOAA","8777812: Rincon Del San Jose, TX",26.825,-97.4917,"airPressure, waterLevel, winds"
"National Ocean Service,  NOAA","8772447: USCG Freeport, TX",28.9433,-95.3025,"airTemperature, waterLevel, waterTemperature, winds"
"National Ocean Service,  NOAA",lm0101: First Street Wharf,29.9224,-90.0711,currents
"National Ocean Service,  NOAA","mc0101: Atchfalaya Bar Channel, LA",29.3183,-91.4297,currents
"National Ocean Service,  NOAA","8720219: Dames Point, FL",30.3867,-81.5583,waterLevel
"National Ocean Service,  NOAA","8726667: Mckay Bay Entrance, FL",27.9133,-82.425,waterLevel
"National Ocean Service,  NOAA","8732828: Weeks Bay, AL",30.4167,-87.825,waterLevel
"National Ocean Service,  NOAA","8735391: Dog River Bridge, AL",30.5652,-88.088,waterLevel
"National Ocean Service,  NOAA","8735523: East Fowl River Bridge, AL",30.4437,-88.1139,waterLevel
"National Ocean Service,  NOAA","8737138: Chickasaw Creek, AL",30.7819,-88.0736,waterLevel
"National Ocean Service,  NOAA","8738043: West Fowl River Bridge, AL",30.3766,-88.1586,waterLevel
"National Ocean Service,  NOAA","8739803: Bayou La Batre Bridge, AL",30.4057,-88.2477,waterLevel
"National Ocean Service,  NOAA","8740166: Grand Bay Nerr,  Mississippi Sound, MS",30.412,-88.402,waterLevel
"National Ocean Service,  NOAA","8741533: Pascagoula Noaa Lab, MS",30.3679,-88.563,waterLevel
"National Ocean Service,  NOAA","8761955: Carrollton, LA",29.9329,-90.1355,waterLevel
"National Ocean Service,  NOAA","8762075: Port Fourchon, LA",29.1142,-90.1992,waterLevel
"National Ocean Service,  NOAA","8767961: Bulk Terminal, LA",30.1903,-93.3007,waterLevel
"National Ocean Service,  NOAA","8770520: Rainbow Bridge, TX",29.98,-93.8817,waterLevel
"National Ocean Service,  NOAA","8741041: Dock E. Port of  Pascagoula, MS",30.3477,-88.5054,"waterLevel, waterTemperature"
"National Ocean Service,  NOAA","8773701: Port Oconnor, TX",28.4517,-96.3883,"waterLevel, winds"
"National Ocean Service,  NOAA","8726669: Berth 223 Met, FL",27.9172,-82.4438,winds
"National Ocean Service,  NOAA","8726673: Seabulk, Tampa, FL",27.9233,-82.445,winds
"National Ocean Service,  NOAA","8726679: East Bay Causeway, FL",27.9289,-82.4258,winds
"National Ocean Service,  NOAA","8726694: TPA Cruise Terminal 2, Tampa, FL",27.9333,-82.4333,winds
